fecha,victima,sexo,edad,fecha_fallecimiento,ID,n_victimas,hora,tipo_calle,calle,comuna,longitud,latitud,acusado
2016-07-23,MOTO,MASCULINO,29,2016-07-23,2016-0095,1,06:12:00,AVENIDA,MERCEDES,11,-58.51713095,-34.59546519,AUTO
2016-07-26,PEATON,MASCULINO,80,2016-08-12,2016-0097,1,18:45:00,CALLE,SOLIS,1,-58.39038605,-34.6156281,AUTO
2016-08-03,MOTO,MASCULINO,57,2016-08-03,2016-0100,1,23:27:00,AUTOPISTA,"PAZ, GRAL. AV.",12,-58.49491054,-34.54795581,OBJETO FIJO
2016-08-14,MOTO,MASCULINO,21,2016-08-15,2016-0104,1,21:15:00,AVENIDA,ZINNY,9,-58.46635001,-34.65624369,PASAJEROS
2016-08-17,PEATON,MASCULINO,19,2016-08-26,2016-0105,1,00:05:00,AVENIDA,"LACROZE, FEDERICO AV.",15,-58.45343236,-34.58435809,PASAJEROS
2016-08-24,AUTO,FEMENINO,53,2016-08-24,2016-0109,1,05:45:00,AUTOPISTA,AUTOPISTA PERITO MORENO,9,-58.52280139,-34.63659934,OBJETO FIJO
2016-08-25,MOTO,MASCULINO,27,2016-08-25,2016-0111,1,09:30:00,AUTOPISTA,LUGONES,15,-58.47461905,-34.57663634,CARGAS
2016-08-27,MOTO,MASCULINO,24,2016-08-27,2016-0112,1,04:40:00,AUTOPISTA,AUTOPISTA 25 DE MAYO,1,-58.38268809,-34.62282019,OBJETO FIJO
2016-08-31,BICICLETA,FEMENINO,55,2016-08-31,2016-0114,1,11:20:00,CALLE,"SALGUERO, JERONIMO",14,-58.41848605,-34.59394733,CARGAS
2016-09-02,MOTO,MASCULINO,30,2016-09-02,2016-0116,1,20:20:00,AVENIDA,27 DE FEBRERO AV.,8,-58.44451316,-34.68475866,AUTO
2016-09-04,AUTO,MASCULINO,27,2016-09-04,2016-0118,1,03:30:00,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,1,-58.37936704,-34.62694503,AUTO
2016-09-13,BICICLETA,MASCULINO,49,2016-09-13,2016-0122,1,07:10:00,AVENIDA,"PERON, EVA AV.",9,-58.47256391,-34.65194557,PASAJEROS
2016-10-02,PEATON,FEMENINO,81,2016-10-02,2016-0128,1,11:30:00,AVENIDA,CASTRO,5,-58.41914024,-34.6305389,PASAJEROS
2016-10-04,MOTO,MASCULINO,29,2016-10-04,2016-0130,1,12:30:00,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,1,-58.37910942,-34.62764717,CARGAS
2016-10-10,AUTO,MASCULINO,30,2016-10-10,2016-0132,1,02:30:00,AVENIDA,SAN JUAN AV.,3,-58.41036975,-34.62477021,PASAJEROS
2016-10-14,MOTO,MASCULINO,41,2016-10-25,2016-0133,1,00:05:00,AVENIDA,LAS HERAS GENERAL AV.,14,-58.40204698,-34.5834269,AUTO
2016-10-23,MOTO,MASCULINO,25,2016-10-23,2016-0134,1,05:00:00,AVENIDA,PIEDRA BUENA AV.,8,-58.48935287,-34.67648597,OBJETO FIJO
2016-11-05,MOTO,MASCULINO,46,2016-11-05,2016-0142,1,23:30:00,AVENIDA,DEL LIBERTADOR AV.,1,-58.37533517,-34.59276462,PASAJEROS
2016-11-07,MOTO,MASCULINO,39,2016-11-07,2016-0145,1,20:56:00,AVENIDA,DEL LIBERTADOR AV.,13,-58.44523595,-34.55953855,AUTO
2016-11-16,MOVIL,MASCULINO,55,2016-11-16,2016-0147,1,21:15:00,AVENIDA,INDEPENDENCIA AV.,1,-58.38896772,-34.61799615,PASAJEROS
2016-11-18,CARGAS,MASCULINO,41,2016-11-18,2016-0150,1,18:20:00,AVENIDA,"ALCORTA, AMANCIO AV.",4,-58.40879146,-34.65273216,CARGAS
2016-11-23,MOTO,MASCULINO,42,2016-11-24,2016-0152,1,21:10:00,AVENIDA,"MORENO, PERITO AV.",7,-58.46451841,-34.64991946,AUTO
2016-11-25,PEATON,FEMENINO,83,2016-11-25,2016-0153,1,15:42:00,AVENIDA,ARAOZ,15,-58.4291709,-34.59485488,MOTO
2016-11-26,MOTO,MASCULINO,23,2016-11-30,2016-0156,1,19:40:00,AVENIDA,INDEPENDENCIA AV.,3,-58.40638983,-34.61943202,PASAJEROS
2016-12-06,CARGAS,MASCULINO,29,2016-12-06,2016-0160,1,05:30:00,AUTOPISTA,AUTOPISTA PERITO MORENO,9,-58.51927194,-34.63635787,OBJETO FIJO
2016-12-06,PEATON,MASCULINO,50,2016-12-06,2016-0161,1,07:22:00,AVENIDA,SANTA FE AV.,14,-58.42525456,-34.57866344,PASAJEROS
2016-12-07,PEATON,MASCULINO,38,2017-01-01,2016-0162,1,05:00:00,AVENIDA,"LACROZE, FEDERICO AV.",15,-58.45396573,-34.58518167,AUTO
2016-12-13,MOTO,MASCULINO,43,2016-12-13,2016-0168,1,10:40:00,AVENIDA,LA PLATA AV.,4,-58.42323628,-34.64119105,AUTO
2016-12-15,MOTO,MASCULINO,24,2016-12-16,2016-0169,1,15:30:00,AVENIDA,NUÑEZ.,12,-58.47935434,-34.55676497,PASAJEROS
2016-12-19,MOTO,MASCULINO,21,2016-12-19,2016-0170,1,17:10:00,AUTOPISTA,"PAZ, GRAL. AV.",12,-58.50598256,-34.5637998,AUTO
2016-12-26,MOTO,MASCULINO,38,2016-12-26,2016-0172,1,08:00:00,AVENIDA,"GARAY, JUAN DE AV.",5,-58.41918902,-34.63174259,CARGAS
2017-01-02,MOTO,MASCULINO,18,2017-01-02,2017-0001,1,01:00:00,AVENIDA,"JUSTO, JUAN B. AV.",11,-58.4659423,-34.61028571,CARGAS
2017-01-05,CARGAS,MASCULINO,33,2017-01-05,2017-0003,1,03:10:00,AVENIDA,OLAVARRIA,4,-58.38957669,-34.64410277,CARGAS
2017-01-11,PEATON,MASCULINO,48,2017-01-11,2017-0007,1,17:00:00,CALLE,LIMA,1,-58.3816166,-34.61529543,MULTIPLE
2017-01-16,MOTO,MASCULINO,29,2017-01-16,2017-0008,1,00:40:00,CALLE,"CABRERA, JOSE A.",14,-58.43917004,-34.58494351,PASAJEROS
2017-01-16,MOTO,MASCULINO,36,2017-01-16,2017-0009,1,13:56:00,AUTOPISTA,AUTOPISTA 25 DE MAYO,5,-58.41595919,-34.62743346,CARGAS
2017-01-16,MOTO,MASCULINO,23,2017-01-16,2017-0010,1,16:30:00,AVENIDA,DIRECTORIO AV.,6,-58.4356488,-34.62828656,AUTO
2017-01-22,MOTO,FEMENINO,29,2017-01-22,2017-0011,1,02:30:00,AUTOPISTA,"PAZ, GRAL. AV.",12,-58.5007381,-34.5497951,OBJETO FIJO
2017-01-24,MOTO,MASCULINO,30,2017-01-24,2017-0012,1,14:00:00,CALLE,TRAFUL,4,-58.40969005,-34.6505529,CARGAS
2017-01-27,PEATON,MASCULINO,4,2017-01-27,2017-0013,1,07:00:00,AVENIDA,"IRIARTE, GRAL. AV.",4,-58.38972622,-34.65098981,CARGAS
2017-01-28,MOTO,FEMENINO,22,2017-01-28,2017-0014,1,08:27:34,AVENIDA,DONADO,12,-58.49185972,-34.55046754,MULTIPLE
2017-02-02,PEATON,MASCULINO,82,2017-02-21,2017-0015,1,15:18:03,AVENIDA,CORDOBA AV.,2,-58.39293417,-34.59963642,AUTO
2017-02-03,MOTO,MASCULINO,27,2017-02-04,2017-0016,1,05:12:21,AUTOPISTA,AUTOPISTA 25 DE MAYO,1,-58.38099494,-34.62288231,CARGAS
2017-02-06,MOTO,MASCULINO,32,2017-02-06,2017-0017,1,08:00:00,AVENIDA,"JUSTO, JUAN B. AV.",14,-58.429012,-34.58095431,AUTO
2017-02-09,MOTO,MASCULINO,30,2017-02-09,2017-0018,1,07:00:00,AUTOPISTA,"PAZ, GRAL. AV.",9,-58.50877521,-34.66977709,AUTO
2017-02-18,MOTO,MASCULINO,43,2017-02-18,2017-0021,1,05:30:00,CALLE,SARMIENTO,1,-58.38362373,-34.60509972,PASAJEROS
2017-02-23,PEATON,MASCULINO,39,2017-02-23,2017-0024,1,20:50:00,AVENIDA,RIVADAVIA AV.,7,-58.46589308,-34.62955795,PASAJEROS
2017-02-26,AUTO,FEMENINO,23,2017-02-26,2017-0026,2,05:15:00,AVENIDA,"MORENO, PERITO AV.",4,-58.41842777,-34.64979057,OBJETO FIJO
2017-02-26,AUTO,MASCULINO,19,2017-02-26,2017-0026,2,05:15:00,AVENIDA,"MORENO, PERITO AV.",4,-58.41842777,-34.64979057,OBJETO FIJO
2017-02-26,PEATON,MASCULINO,37,2017-02-26,2017-0027,1,21:57:00,AVENIDA,CASEROS AV.,1,-58.38332245,-34.6319325,AUTO
2017-02-28,PEATON,MASCULINO,87,2017-02-28,2017-0028,1,09:20:00,AVENIDA,GAONA AV.,6,-58.45475488,-34.61196327,AUTO
2017-03-07,AUTO,FEMENINO,27,2017-03-07,2017-0030,1,08:00:00,AVENIDA,MOZART,9,-58.47010988,-34.65872088,PASAJEROS
2017-03-11,AUTO,MASCULINO,70,2017-03-11,2017-0031,1,01:30:00,CALLE,24 DE NOVIEMBRE,3,-58.4099756,-34.62873635,OBJETO FIJO
2017-03-12,AUTO,FEMENINO,40,2017-03-12,2017-0032,1,05:00:00,AUTOPISTA,"PAZ, GRAL. AV.",8,-58.48892175,-34.68359163,AUTO
2017-03-12,AUTO,MASCULINO,28,2017-03-12,2017-0033,1,07:30:00,AUTOPISTA,"PAZ, GRAL. AV.",11,-58.52466448,-34.60325478,AUTO
2017-03-13,PEATON,MASCULINO,43,2017-03-13,2017-0034,1,07:50:00,CALLE,GODOY CRUZ,14,-58.42554218,-34.57929036,AUTO
2017-03-23,AUTO,MASCULINO,28,2017-03-23,2017-0035,3,05:00:00,AVENIDA,"ACHAVAL RODRIGUEZ, T., DR. AV.",1,-58.35881506,-34.61113641,OBJETO FIJO
2017-03-23,AUTO,MASCULINO,32,2017-03-23,2017-0035,3,05:00:00,AVENIDA,"ACHAVAL RODRIGUEZ, T., DR. AV.",1,-58.35881506,-34.61113641,OBJETO FIJO
2017-03-23,AUTO,MASCULINO,30,2017-03-23,2017-0035,3,05:00:00,AVENIDA,"ACHAVAL RODRIGUEZ, T., DR. AV.",1,-58.35881506,-34.61113641,OBJETO FIJO
2017-03-29,MOTO,FEMENINO,37,2017-03-29,2017-0036,2,18:00:00,AUTOPISTA,"PAZ, GRAL. AV.",12,-58.51452347,-34.58159762,PASAJEROS
2017-03-29,MOTO,MASCULINO,20,2017-03-29,2017-0036,2,18:00:00,AUTOPISTA,"PAZ, GRAL. AV.",12,-58.51452347,-34.58159762,PASAJEROS
2017-03-31,MOTO,MASCULINO,41,2017-03-31,2017-0037,1,03:00:00,AVENIDA,INDEPENDENCIA AV.,1,-58.38896772,-34.61799615,CARGAS
2017-04-01,MOTO,FEMENINO,40,2017-04-01,2017-0038,1,19:00:00,AVENIDA,CASTAÑARES AV.,7,-58.44516857,-34.64363363,AUTO
2017-04-03,AUTO,MASCULINO,43,2017-04-03,2017-0040,1,09:40:00,AVENIDA,"GUIRALDES, INT.",13,-58.43834197,-34.54560369,MULTIPLE
2017-04-14,MOTO,MASCULINO,21,2017-04-14,2017-0045,1,06:15:00,CALLE,NOGOYA,10,-58.52449285,-34.62454175,OBJETO FIJO
2017-04-23,MOTO,MASCULINO,37,2017-04-23,2017-0047,1,06:30:00,AVENIDA,ARGENTINA AV.,8,-58.46713742,-34.6719879,AUTO
2017-04-27,PEATON,MASCULINO,22,2017-04-27,2017-0049,1,18:16:00,AVENIDA,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",8,-58.43850413,-34.65554754,PASAJEROS
2017-05-05,PEATON,FEMENINO,47,2017-05-05,2017-0052,1,03:40:00,AUTOPISTA,"PAZ, GRAL. AV.",8,-58.49413799,-34.68095739,CARGAS
